BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.8	0.8	0
2	0.8	0.8	4.21468e-09
3	0.8	0.8	3.44128e-09
4	0.8	0.8	2.98023e-09
5	0.8	0.8	2.6656e-09
6	0.8	0.8	2.43335e-09
7	0.8	0.8	5.51832e-09
8	0.8	0.8	2.10734e-09
9	0.8	0.8	1.98682e-09
10	0.8	0.8	3.76973e-09
11	0.8	0.8	3.5943e-09
12	0.8	0.8	3.44128e-09
13	0.8	0.8	5.75638e-09
14	0.8	0.8	5.54698e-09
15	0.8	0.8	6.00993e-09
16	0.8	0.8	5.81909e-09
17	0.8	0.8	5.64535e-09
18	0.8	0.8	6.02223e-09
19	0.8	0.8	5.86161e-09
20	0.8	0.8	5.71319e-09
21	0.8	0.8	5.5755e-09
22	0.8	0.8	5.16191e-09
23	0.8	0.8	5.04845e-09
24	0.8	0.8	4.12594e-09
25	0.8	0.8	4.04258e-09
26	0.8	0.8	2.98023e-09
27	0.8	0.8	2.92452e-09
28	0.8	0.8	2.42246e-09
29	0.8	0.8	2.38033e-09
30	0.8	0.8	2.34032e-09
31	0.8	0.8	6.55564e-10
32	0.8	0.8	6.45239e-10
33	0.8	0.8	6.35388e-10
34	0.8	0.8	2.3699e-09
35	0.8	0.8	2.3358e-09
36	0.8	0.8	2.30313e-09
37	0.8	0.8	2.27179e-09
38	0.8	0.8	2.2417e-09
39	0.8	0.8	2.5699e-09
40	0.8	0.8	2.53758e-09
41	0.8	0.8	1.3963e-09
42	0.8	0.8	1.37958e-09
43	0.8	0.8	2.44746e-09
44	0.8	0.8	2.41948e-09
45	0.8	0.8	2.39245e-09
46	0.8	0.8	2.3663e-09
47	0.8	0.8	2.34099e-09
48	0.8	0.8	2.31648e-09
49	0.8	0.8	2.29272e-09
50	0.8	0.8	2.95028e-09
51	0.8	0.8	2.92121e-09
52	0.8	0.8	2.89299e-09
53	0.8	0.8	3.21033e-09
54	0.8	0.8	3.48874e-09
55	0.8	0.8	3.45688e-09
56	0.8	0.8	3.70394e-09
57	0.8	0.8	3.67131e-09
58	0.8	0.8	3.89362e-09
59	0.8	0.8	4.23251e-09
60	0.8	0.8	4.19709e-09
